City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Portland,US,2021-10-19 15:52:52,45.5234,-122.6762,50.2,90,75,1.01,fog
171,Tromso,NO,2021-10-19 16:03:15,69.6496,18.957,27.37,74,0,3.44,clear sky
172,Torrijos,ES,2021-10-19 16:03:15,39.9819,-4.2835,79.84,35,37,7.23,scattered clouds
173,Paramonga,PE,2021-10-19 15:59:19,-10.6667,-77.8333,68.07,73,89,8.66,overcast clouds
174,Oktyabrskiy,RU,2021-10-19 16:03:15,54.4815,53.471,41.25,60,100,4.21,overcast clouds
175,Akhnur,IN,2021-10-19 16:03:16,32.8667,74.7333,72.48,49,0,5.59,clear sky
176,Brae,GB,2021-10-19 15:57:30,60.3964,-1.353,53.51,97,100,7.4,overcast clouds
177,Los Llanos De Aridane,ES,2021-10-19 15:57:39,28.6585,-17.9182,78.12,64,100,4.63,overcast clouds
178,Pacific Grove,US,2021-10-19 15:58:16,36.6177,-121.9166,55.56,87,37,1.01,scattered clouds
179,Tizimin,MX,2021-10-19 16:03:16,21.15,-88.15,88.61,53,86,7.9,overcast clouds
180,Yellowknife,CA,2021-10-19 15:56:16,62.456,-114.3525,38.41,98,75,6.91,broken clouds
181,Henties Bay,NA,2021-10-19 15:56:08,-22.116,14.2845,59.86,74,85,10.65,overcast clouds
182,Cherskiy,RU,2021-10-19 15:57:08,68.75,161.3,-13.47,100,97,4.45,overcast clouds
183,Sfantu Gheorghe,RO,2021-10-19 16:01:22,45.8667,25.7833,50.94,72,41,1.34,scattered clouds
184,Oistins,BB,2021-10-19 15:57:29,13.0667,-59.5333,84.29,74,40,11.5,scattered clouds
185,Darnah,LY,2021-10-19 16:03:17,32.767,22.6367,70.34,67,83,10.4,broken clouds
186,Tiznit,MA,2021-10-19 16:03:17,29.5833,-9.5,86.58,17,64,0.63,broken clouds
187,Ornskoldsvik,SE,2021-10-19 16:03:18,63.2909,18.7153,36.55,93,75,9.22,drizzle
188,Codrington,AU,2021-10-19 15:54:32,-38.2667,141.9667,44.24,97,36,8.03,scattered clouds
189,Yarada,IN,2021-10-19 16:03:18,17.65,83.2667,83.14,85,89,5.53,light rain
190,Mao,ES,2021-10-19 16:03:18,39.8885,4.2658,69.37,61,11,8.59,few clouds
191,Sur,OM,2021-10-19 15:58:15,22.5667,59.5289,84.88,54,4,8.08,clear sky
192,Puerto Escondido,MX,2021-10-19 15:57:36,15.85,-97.0667,84.69,60,81,2.71,broken clouds
193,San Quintin,MX,2021-10-19 15:55:59,30.4833,-115.95,63.1,66,54,9.15,broken clouds
194,Arona,ES,2021-10-19 15:57:44,28.0996,-16.681,73.33,69,100,3.89,overcast clouds
195,Avera,US,2021-10-19 16:03:19,33.194,-82.5271,73.27,40,0,3.38,clear sky
196,Bourail,NC,2021-10-19 16:03:20,-21.5667,165.4833,72.61,89,100,2.95,overcast clouds
197,Nuoro,IT,2021-10-19 16:03:20,40.3211,9.3297,62.8,42,3,2.35,clear sky
198,Pedasi,PA,2021-10-19 16:03:20,7.5333,-80.0333,80.46,76,99,1.14,overcast clouds
199,Huarmey,PE,2021-10-19 16:03:21,-10.0681,-78.1522,68.29,75,97,8.52,overcast clouds
200,Lasa,IT,2021-10-19 15:57:54,46.6166,10.7002,61.54,73,100,3.44,overcast clouds
201,Pasni,PK,2021-10-19 16:00:43,25.2631,63.471,80.2,72,0,7.2,clear sky
202,Yendi,GH,2021-10-19 16:03:21,9.4427,-0.0099,86.05,59,84,6.38,broken clouds
203,Saldanha,ZA,2021-10-19 15:56:51,-33.0117,17.9442,82.45,59,0,14.25,clear sky
204,Hami,CN,2021-10-19 16:03:22,42.8,93.45,55.89,23,1,2.35,clear sky
205,Harper,LR,2021-10-19 15:58:09,4.375,-7.7169,81.7,75,70,9.73,broken clouds
206,Morro Bay,US,2021-10-19 15:56:07,35.3658,-120.8499,61.0,68,0,2.44,clear sky
207,Dingle,PH,2021-10-19 15:58:00,10.9995,122.6711,77.52,91,100,6.17,moderate rain
208,Lavrentiya,RU,2021-10-19 15:58:05,65.5833,-171.0,27.97,94,100,23.94,snow
209,Prince Rupert,CA,2021-10-19 16:03:20,54.3161,-130.3201,43.7,72,100,10.31,overcast clouds
210,Portoferraio,IT,2021-10-19 16:03:22,42.8115,10.3146,68.11,69,88,2.62,overcast clouds
211,Munsingen,DE,2021-10-19 16:03:23,48.4113,9.497,54.7,79,93,7.0,overcast clouds
212,Sadiqabad,PK,2021-10-19 16:00:46,28.3062,70.1307,82.74,9,0,6.62,clear sky
213,Sinnamary,GF,2021-10-19 15:59:19,5.3833,-52.95,83.32,73,100,7.31,overcast clouds
214,Mar Del Plata,AR,2021-10-19 15:57:20,-38.0023,-57.5575,68.02,52,0,11.5,clear sky
215,Ancud,CL,2021-10-19 15:56:13,-41.8697,-73.8203,65.73,73,5,4.81,clear sky
216,Mezen,RU,2021-10-19 15:58:54,65.8522,44.24,35.46,83,93,12.59,overcast clouds
217,Zhanaozen,KZ,2021-10-19 16:03:23,43.3,52.8,60.37,59,96,14.07,overcast clouds
218,Kemijarvi,FI,2021-10-19 16:03:24,66.7131,27.4306,27.23,79,54,2.89,broken clouds
219,Hofn,IS,2021-10-19 15:58:59,64.2539,-15.2082,41.2,71,100,20.09,overcast clouds
220,Tarauaca,BR,2021-10-19 16:03:24,-8.1614,-70.7656,92.35,44,99,4.07,overcast clouds
221,Nome,US,2021-10-19 15:54:36,64.5011,-165.4064,32.07,93,90,24.16,snow
222,Astoria,US,2021-10-19 16:03:25,46.1879,-123.8313,51.85,90,1,7.0,clear sky
223,Rizhao,CN,2021-10-19 16:00:26,35.4275,119.4553,48.4,62,100,8.97,light rain
224,Dunedin,NZ,2021-10-19 16:03:25,-45.8742,170.5036,45.81,53,7,15.01,clear sky
225,Siverek,TR,2021-10-19 16:03:25,37.755,39.3167,65.01,32,10,6.98,clear sky
226,North Bend,US,2021-10-19 16:03:26,43.4065,-124.2243,49.12,96,1,9.22,clear sky
227,Makubetsu,JP,2021-10-19 16:03:26,45.3714,141.8211,41.9,93,100,18.9,overcast clouds
228,Minnedosa,CA,2021-10-19 16:03:27,50.2453,-99.8436,38.75,63,66,18.32,broken clouds
229,Safaga,EG,2021-10-19 16:03:27,26.7292,33.9365,81.55,38,33,22.55,scattered clouds
230,Marsh Harbour,BS,2021-10-19 16:03:27,26.5412,-77.0636,78.01,57,88,15.86,overcast clouds
231,Leshukonskoye,RU,2021-10-19 15:59:05,64.8989,45.7622,34.57,87,63,10.11,broken clouds
232,Prescott,US,2021-10-19 15:56:56,34.54,-112.4685,53.91,68,0,1.01,clear sky
233,El Alto,PE,2021-10-19 15:58:42,-4.2714,-81.2147,65.86,70,99,11.1,overcast clouds
234,Iquique,CL,2021-10-19 16:00:56,-20.2208,-70.1431,66.58,63,56,8.19,broken clouds
235,Zinacantan,MX,2021-10-19 16:03:28,16.75,-92.7,57.0,71,93,1.81,overcast clouds
236,Bolobo,CD,2021-10-19 16:03:28,-2.1667,16.2333,76.68,89,95,1.92,light rain
237,Gainesville,US,2021-10-19 16:00:44,29.6516,-82.3248,78.78,57,34,1.01,scattered clouds
238,Oranjemund,NA,2021-10-19 15:57:13,-28.55,16.4333,71.31,36,13,24.16,few clouds
239,Temyasovo,RU,2021-10-19 16:03:29,52.9933,58.1014,44.96,86,100,4.81,overcast clouds
240,Sisimiut,GL,2021-10-19 16:02:09,66.9395,-53.6735,33.39,45,42,8.95,scattered clouds
241,Torbay,CA,2021-10-19 15:57:44,47.6666,-52.7314,59.58,77,20,16.11,few clouds
242,Caravelas,BR,2021-10-19 15:55:13,-17.7125,-39.2481,85.44,55,67,11.97,broken clouds
243,Tamandare,BR,2021-10-19 15:58:41,-8.7597,-35.1047,83.5,65,84,9.51,broken clouds
244,Rzhev,RU,2021-10-19 16:03:30,56.2624,34.3282,33.4,80,67,11.14,broken clouds
245,Geraldton,AU,2021-10-19 15:58:32,-28.7667,114.6,61.21,82,75,17.27,broken clouds
246,Mariinsk,RU,2021-10-19 16:03:30,56.2139,87.7472,38.73,81,95,5.14,overcast clouds
247,Youhao,CN,2021-10-19 16:03:30,47.8667,128.8333,26.87,62,98,2.24,overcast clouds
