City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
506,Gudalur,IN,75.67,overcast clouds,9.6833,77.2667,Hotel Lemurian Heritage
512,Bambanglipuro,ID,78.44,overcast clouds,-7.95,110.2833,Puri Brata
513,Auki,SB,76.71,broken clouds,-8.7676,160.7034,Auki Motel
514,Atambua,ID,77.27,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
516,Port Moresby,PG,76.21,clear sky,-9.4431,147.1797,Lamana Hotel (Port Moresby)
520,Plato,CO,85.93,overcast clouds,9.7903,-74.7824,Park Hotel Caiman
521,Hit,IQ,77.58,clear sky,33.6416,42.8251,صالون زيرو
525,West Bay,KY,82.99,broken clouds,19.3667,-81.4167,Calypso Cove
527,Jangipur,IN,75.13,overcast clouds,24.4667,88.0667,"KICHU KHON LODGE ,কিছুক্ষন লজ ,SAHEBBAZAR"
535,Samarai,PG,80.64,few clouds,-10.6167,150.6667,Nuli Sapi
539,Guatire,VE,89.2,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
544,Limon,CR,84.09,broken clouds,10.0,-83.0333,Hotel Playa Bonita
548,Baghdad,IQ,80.26,clear sky,33.3406,44.4009,Baghdad Hotel
550,Manggar,ID,79.65,broken clouds,-2.8833,108.2667,Guest Hotel
552,Matara,LK,78.71,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
553,Upata,VE,87.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
559,Rosario,AR,79.57,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
561,Mwinilunga,ZM,75.72,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
567,Lang Suan,TH,78.04,scattered clouds,9.9456,99.0785,Langsuan Resort
572,The Valley,AI,85.1,light rain,18.217,-63.0578,CeBlue Villas & Beach Resort
576,Guasdualito,VE,85.62,scattered clouds,7.2424,-70.7324,Hotel Cuibas
578,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
582,Labuhan,ID,81.05,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
583,Kigoma,TZ,75.4,overcast clouds,-4.8769,29.6267,MJI Mwema Lodge
585,Malanje,AO,81.27,overcast clouds,-9.5402,16.341,Malanje Hotel
587,Ritchie,ZA,75.69,clear sky,-29.038,24.6028,Riverside Country Club Modderrivier
588,Lazaro Cardenas,MX,83.25,broken clouds,17.9583,-102.2,quinta antigua
600,Kontagora,NG,87.15,overcast clouds,10.3999,5.4695,Queens Guest Inn
608,Lucea,JM,88.86,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
612,Roura,GF,89.51,overcast clouds,4.7263,-52.3274,Amazonie Découverte SARL
615,Luanda,AO,78.8,few clouds,-8.8368,13.2343,Hotel Fórum
617,Garowe,SO,88.0,clear sky,8.4054,48.4845,Curubo Hotel
626,Nanakuli,US,75.11,scattered clouds,21.3906,-158.1547,Camp Pālehua
627,Los Algarrobos,PA,84.45,scattered clouds,8.5,-82.4333,Waterfall Hostel
638,Salalah,OM,79.07,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
641,Acapulco,MX,82.9,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
642,Conde,BR,85.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
644,Tucuman,AR,82.4,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
646,Mkushi,ZM,75.51,broken clouds,-13.6202,29.3939,Mkushi Police Club
650,Rasulnagar,PK,75.43,clear sky,32.3285,73.7814,Aliraza Mehar
655,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
656,Wajir,KE,89.1,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
660,Aguada De Pasajeros,CU,86.14,broken clouds,22.385,-80.8508,Soles de Marti
661,Korhogo,CI,84.49,broken clouds,9.45,-5.6333,Hôtel Tchinbota
662,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
665,Japura,ID,75.96,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
666,Vattalkundu,IN,81.21,light rain,10.1667,77.7667,O2 Residency
670,Nauta,PE,79.3,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
679,Pemba,MZ,78.71,clear sky,-12.974,40.5178,Guesthouse Samotina
680,Champerico,GT,88.75,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
681,Jalu,LY,80.28,overcast clouds,29.0331,21.5482,صاحبة الفخامة
683,Dire Dawa,ET,75.0,overcast clouds,9.5931,41.8661,Samrat Hotel
685,Ikom,NG,81.68,broken clouds,5.9667,8.7063,Reho Farm & Resort
688,Sulangan,PH,83.75,broken clouds,11.1373,123.7228,Maia's Beach Resort
696,Lata,PT,85.35,clear sky,40.1629,-8.3327,Casa Maquia
698,Almunecar,ES,88.72,broken clouds,36.7339,-3.6907,Almuñécar Playa Spa Hotel
701,Mogadishu,SO,79.05,overcast clouds,2.0371,45.3438,Hotel Juba
702,Mumford,GH,80.96,overcast clouds,5.2618,-0.759,Spanish Villa
704,Bandarbeyla,SO,79.18,clear sky,9.4942,50.8122,JABIR HOTEL
709,Bima,ID,79.7,broken clouds,-8.4667,118.7167,Lambitu Hotel
