City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Broome,US,2021-10-15 02:23:05,42.2506,-75.833,64.78,72,75,3.44
60,Mirnyy,RU,2021-10-15 02:23:06,62.5353,113.9611,20.37,78,81,5.53
61,Portland,US,2021-10-15 02:21:59,45.5234,-122.6762,56.57,92,75,1.99
62,Berlevag,NO,2021-10-15 02:23:06,70.8578,29.0864,35.83,98,100,10.45
63,Dikson,RU,2021-10-15 02:23:07,73.5069,80.5464,32.18,99,100,4.92
64,Qaanaaq,GL,2021-10-15 02:23:07,77.484,-69.3632,10.69,83,52,6.73
65,Vardo,NO,2021-10-15 02:23:07,70.3705,31.1107,36.93,98,100,19.1
66,Korla,CN,2021-10-15 02:23:08,41.7597,86.1469,48.2,33,20,2.95
67,Kaeo,NZ,2021-10-15 02:23:08,-35.1,173.7833,62.04,52,5,6.82
68,Barcelos,PT,2021-10-15 02:23:09,41.5388,-8.6151,61.92,51,67,3.15
69,Port Alfred,ZA,2021-10-15 02:23:09,-33.5906,26.891,62.71,75,100,16.87
70,Upernavik,GL,2021-10-15 02:23:09,72.7868,-56.1549,30.11,72,74,3.27
71,Fort Nelson,CA,2021-10-15 02:19:08,58.8053,-122.7002,42.39,45,75,3.44
72,Longyearbyen,SJ,2021-10-15 02:23:10,78.2186,15.6401,31.84,64,75,19.57
73,Kutum,SD,2021-10-15 02:23:10,14.2,24.6667,74.75,59,81,6.46
74,Pangody,RU,2021-10-15 02:23:11,65.85,74.4859,37.2,94,100,12.44
75,Petropavlovsk-Kamchatskiy,RU,2021-10-15 02:23:11,53.0452,158.6483,48.79,71,75,8.95
76,Hobart,AU,2021-10-15 02:19:15,-42.8794,147.3294,61.11,97,75,1.01
77,Punta Arenas,CL,2021-10-15 02:22:53,-53.15,-70.9167,42.91,75,40,20.71
78,Maniitsoq,GL,2021-10-15 02:23:12,65.4167,-52.9,38.39,87,100,8.97
